,type,division,subdivision,article,line,31.12.2008,31.12.2007
0,Aktiva,A. Anlagevermögen,,,,1616250.53,1595900.0
1,Aktiva,A. Anlagevermögen,I. Sachanlagen,,,1616250.53,1595900.0
2,Aktiva,B. Umlaufvermögen,,,,435350.46,883500.0
3,Aktiva,B. Umlaufvermögen,I. Forderungen und sonstige  Vermögensgegenstände,,,69362.68,563800.0
4,Aktiva,B. Umlaufvermögen,"II. Kassenbestand,  Bundesbankguthaben, Guthaben bei Kreditinstituten  und Schecks",,,365987.78,319700.0
5,Aktiva,C.  Rechnungsabgrenzungsposten,,,,1245.36,0.0
0,Passiva,A. Eigenkapital,,,,38058.15,254200.0
1,Passiva,A. Eigenkapital,I. Kapitalanteile,,,38058.15,254200.0
2,Passiva,B. Sonderposten mit  Rücklageanteil,,,,1599578.71,1599600.0
3,Passiva,B. Rückstellungen,,,,211906.4,232200.0
4,Passiva,C. Verbindlichkeiten,,,,203303.09,393400.0
